Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Latitude,Longitude
216498,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,06/01/2013,34.64,,42.329481,-88.9232166
216499,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,06/01/2014,33.22,,42.329481,-88.9232166
154478,645,Traffic Density- Annual Vehicle Miles Traveled for Trucks,million miles,per km2,CD,313,Coney Island (CD13),2005,01/01/2005,0.4,,42.329481,-88.9232166
154537,644,Traffic Density- Annual Vehicle Miles Traveled for Cars,million miles,per km2,CD,313,Coney Island (CD13),2005,01/01/2005,16.6,,42.329481,-88.9232166
154596,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,313,Coney Island (CD13),2005,01/01/2005,17.1,,42.329481,-88.9232166
164890,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2008-09,12/01/2008,2.94,,42.329481,-88.9232166
164949,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2009-10,12/01/2009,1.98,,42.329481,-88.9232166
165008,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2010-11,12/01/2010,2.37,,42.329481,-88.9232166
165067,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2011-12,12/01/2011,1.03,,42.329481,-88.9232166
165126,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2012-13,12/01/2012,0.63,,42.329481,-88.9232166
165775,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2008-09,12/01/2008,23.16,,42.329481,-88.9232166
165834,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2009-10,12/01/2009,24.12,,42.329481,-88.9232166
165893,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2010-11,12/01/2010,24.44,,42.329481,-88.9232166
165952,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2011-12,12/01/2011,18.16,,42.329481,-88.9232166
166011,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2012-13,12/01/2012,21.3,,42.329481,-88.9232166
166660,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2009,06/01/2009,13.73,,42.329481,-88.9232166
166719,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2010,06/01/2010,12.65,,42.329481,-88.9232166
166778,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2011,06/01/2011,12.93,,42.329481,-88.9232166
166837,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2012,06/01/2012,10.96,,42.329481,-88.9232166
166896,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2013,06/01/2013,9.53,,42.329481,-88.9232166
167545,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2009,12/01/2008,18.41,,42.329481,-88.9232166
167604,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2010,12/01/2009,17.65,,42.329481,-88.9232166
167663,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2011,12/01/2010,17.69,,42.329481,-88.9232166
167722,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2012,12/01/2011,15.97,,42.329481,-88.9232166
167781,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2013,12/01/2012,15.06,,42.329481,-88.9232166
168430,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2008-09,12/01/2008,10.81,,42.329481,-88.9232166
168489,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2009-10,12/01/2009,8.85,,42.329481,-88.9232166
168548,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2010-11,12/01/2010,11.46,,42.329481,-88.9232166
168607,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2011-12,12/01/2011,7.86,,42.329481,-88.9232166
168666,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2012-13,12/01/2012,9.67,,42.329481,-88.9232166
169315,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2009,06/01/2009,10.36,,42.329481,-88.9232166
169374,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2010,06/01/2010,11.32,,42.329481,-88.9232166
169433,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2011,06/01/2011,11.02,,42.329481,-88.9232166
169492,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2012,06/01/2012,9.86,,42.329481,-88.9232166
169551,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2013,06/01/2013,9.63,,42.329481,-88.9232166
170200,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2009,12/01/2008,9.43,,42.329481,-88.9232166
170259,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2010,12/01/2009,8.76,,42.329481,-88.9232166
170318,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2011,12/01/2010,9.37,,42.329481,-88.9232166
170377,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2012,12/01/2011,8.24,,42.329481,-88.9232166
170436,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2013,12/01/2012,8.04,,42.329481,-88.9232166
216496,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2011,06/01/2011,37.52,,42.329481,-88.9232166
216497,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2012,06/01/2012,37.9,,42.329481,-88.9232166
213082,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2013-14,12/01/2013,0.8,,42.329481,-88.9232166
213259,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2013-14,12/01/2013,24.86,,42.329481,-88.9232166
213436,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2014,06/01/2014,10.71,,42.329481,-88.9232166
213613,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2014,12/01/2013,16.57,,42.329481,-88.9232166
213790,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2013-14,12/01/2013,11.03,,42.329481,-88.9232166
213967,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2014,06/01/2014,7.9,,42.329481,-88.9232166
214144,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2014,12/01/2013,8.32,,42.329481,-88.9232166
216494,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2009,06/01/2009,30.59,,42.329481,-88.9232166
216495,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2010,06/01/2010,37.44,,42.329481,-88.9232166
227545,647,Air Toxics Concentrations- Average Formaldehyde Concentrations,Annual Average Concentration,µg/m3,CD,313,Coney Island (CD13),2011,01/01/2011,2.1,,42.329481,-88.9232166
227604,646,Air Toxics Concentrations- Average Benzene Concentrations,Annual Average Concentration,µg/m3,CD,313,Coney Island (CD13),2011,01/01/2011,1.76602104,,42.329481,-88.9232166
325170,645,Traffic Density- Annual Vehicle Miles Traveled for Trucks,million miles,per km2,CD,313,Coney Island (CD13),2016,01/01/2016,0.2,,42.329481,-88.9232166
325277,643,Traffic Density- Annual Vehicle Miles Traveled,million miles,per km2,CD,313,Coney Island (CD13),2016,01/01/2016,19.7,,42.329481,-88.9232166
325384,644,Traffic Density- Annual Vehicle Miles Traveled for Cars,million miles,per km2,CD,313,Coney Island (CD13),2016,01/01/2016,19.4,,42.329481,-88.9232166
334291,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2015,01/01/2015,7.62,,42.329481,-88.9232166
334292,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2015,06/01/2015,8.69,,42.329481,-88.9232166
334293,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2014-15,12/01/2014,8.04,,42.329481,-88.9232166
336829,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2015,01/01/2015,16.07,,42.329481,-88.9232166
336830,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2015,06/01/2015,10.01,,42.329481,-88.9232166
336831,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2014-15,12/01/2014,23.05,,42.329481,-88.9232166
337862,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2014-15,12/01/2014,0.41,,42.329481,-88.9232166
338285,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2015,06/01/2015,35.76,,42.329481,-88.9232166
405339,383,Sulfur Dioxide (SO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2015-16,12/01/2015,0.17,,42.329481,-88.9232166
411074,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2015-16,12/01/2015,6.89,,42.329481,-88.9232166
411075,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2016,05/31/2016,7.65,,42.329481,-88.9232166
411076,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2016,12/31/2015,6.65,,42.329481,-88.9232166
412107,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2016,05/31/2016,36.33,,42.329481,-88.9232166
412766,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2015-16,12/01/2015,20.33,,42.329481,-88.9232166
412767,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2016,05/31/2016,9.5,,42.329481,-88.9232166
412768,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2016,12/31/2015,14.64,,42.329481,-88.9232166
547707,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Summer 2017,06/01/2017,8.14,,42.329481,-88.9232166
547708,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Annual Average 2017,01/01/2017,6.79,,42.329481,-88.9232166
547709,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,313,Coney Island (CD13),Winter 2016-17,12/01/2016,7.31,,42.329481,-88.9232166
549440,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2017,06/01/2017,32.41,,42.329481,-88.9232166
550099,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2017,06/01/2017,9.7,,42.329481,-88.9232166
550100,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2017,01/01/2017,15.09,,42.329481,-88.9232166
550101,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2016-17,12/01/2016,22.23,,42.329481,-88.9232166
603041,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Annual Average 2018,01/01/2018,13.63,,42.329481,-88.9232166
603042,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Summer 2018,06/01/2018,8.38,,42.329481,-88.9232166
603043,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,313,Coney Island (CD13),Winter 2017-18,12/01/2017,18.95,,42.329481,-88.9232166
605343,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2018,06/01/2018,32.96,,42.329481,-88.9232166
